id,name,brand,price,dept,description
1,Ring Light,Neewer,59.99,8,"This Ring Light is perfect for creating a professional-looking lighting setup for your photography or videography projects. The adjustable brightness, colors, and temperature on the light will allow you to customize the light for any situation. The sturdy and lightweight design allows for easy setup and transport, making this an ideal light for any photographer or videographer."
2,Wireless Charger,Anker,9.99,8,"The Wireless Charger is a convenient and efficient way to charge your mobile devices without the need for cables or cords. This device uses a Qi induction-based charging technology to wirelessly transfer energy to your phone or tablet, allowing you to quickly and easily charge your device on the go. It is compatible with most modern smartphones and tablets, and is designed with safety in mind, with multiple protection layers to keep your device safe while charging."
3,Notebook,Acer,349.99,23,"The Notebook is the perfect tool for taking notes and staying organized. It's lightweight and portable, making it ideal for school, work, or home use. It features a classic spiral binding, lined pages, and sturdy cover. It's perfect for keeping track of important notes, ideas, and to-do lists."
4,Snowglobe,Kurt Adler,39.99,21,"A Snowglobe is a decorative item that contains a miniature winter scene inside a sealed glass dome. It usually contains a small house or other structure, trees, and sometimes figures of animals or people. When the globe is shaken, it creates a snowfall effect with the white flakes. It is a festive and whimsical item to bring a bit of winter cheer to any space."
5,Picture Frame,IKEA,19.99,21,"This classic wooden picture frame is perfect for displaying your favorite memories. Its sleek design and neutral finish will look great in any room. The frame is lightweight and easy to hang, and it is constructed from durable wood for lasting quality."
6,AA Battery,Duralock,2.99,7,"AA Battery is a long-lasting and reliable battery that is perfect for powering a variety of electronic devices. It is capable of providing a steady and consistent source of power for a long period of time. The battery is also lightweight, making it easy to transport and store. It is ideal for use in electronics such as toys, radios, flashlights, and other small appliances."
7,AAA Battery,Energizer,3.49,7,"AAA batteries are small, light-weight batteries that are commonly used in electronic devices such as remote controls, toys, and flashlights. They are often used as a primary power source for small devices, and are available in many different sizes and capacities. These batteries are easy to replace and maintain, making them an ideal choice for everyday use."
8,9V Battery,Energizer,9.99,7,"A 9V alkaline battery that is designed to provide reliable, long-lasting power for a variety of electronic devices such as smoke detectors, portable radios, toys and more. It features a durable design that allows it to be stored for up to 10 years and provides up to 550mAh of power."
9,Facial Tissues,Kleenex,1.99,19,"Facial Tissues are soft, absorbent tissues that are designed specifically for use on the face. They are gentle on the skin and provide a comfortable, hygienic way to remove makeup, cleanse, and moisturize the face. They come in a variety of sizes and designs and are perfect for everyday use."
10,Toilet Paper,Charmin Ultra Soft,19.99,20,"Soft and strong two-ply toilet paper that provides comfort and long-lasting convenience. This product has been designed to be both gentle on the skin and effective at cleaning up bathroom messes. It is made from recycled materials and is chlorine-free, making it an environmentally-friendly choice for your home."
11,Paper Towels,Bounty,8.99,20,"Paper Towels are absorbent towels made from paper. They are typically used for cleaning and drying and can be used for a variety of cleaning tasks. They are generally disposable, highly absorbent and come in a variety of sizes, making them a perfect choice for any cleaning job."
12,Dish Towels,Dish Towels,9.99,20,"These absorbent dish towels are perfect for drying dishes and wiping up kitchen messes. Made from 100% cotton, they are soft and gentle on dishes, yet durable and absorbent. They feature a classic striped design, perfect for adding a stylish touch to any kitchen."
13,Gaming Console,Xbox,299,22,"A gaming console is a device designed for interactive video gaming and entertainment. It typically consists of a console unit, a controller and various input and output devices. It is used to play a wide range of video game genres, including action, adventure, racing, sports, puzzle and strategy. Some consoles also offer multimedia functions such as streaming media and playback of music and movies."
14,Video Game,Assassin's Creed III,59.99,22,"Video Game is an interactive digital game in which players use controllers to manipulate images on a video screen. Players are usually rewarded with points or virtual rewards for completing certain tasks and can compete against each other or against the computer. Video games are available on a variety of platforms, including computers, video game consoles, mobile devices and virtual reality headsets."
